#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_997	23672	4	N	N	1	*	*,997,*
contig_312	23671	6	N	N	1	*	*,312,*
contig_423	23516	3	N	N	1	*	*,423,*
contig_1205	23450	4	N	N	1	*	*,1205,*
contig_1215	23399	6	N	N	1	*	*,1215,*
contig_382	23191	3	N	N	1	*	*,382,*
contig_190	23174	4	N	N	1	*	*,190,*
contig_509	23160	4	N	N	1	*	*,509,*
contig_240	23154	5	N	N	1	*	*,240,*
contig_256	23103	4	N	N	1	*	*,256,*
contig_518	23002	4	N	N	1	*	*,518,*
contig_849	22982	4	N	N	1	*	*,849,*
contig_1315	22918	6	N	N	1	*	*,1315,*
contig_676	22821	4	N	N	1	*	*,676,*
contig_501	22784	5	N	N	1	*	*,501,*
contig_344	22772	5	N	N	1	*	*,344,*
contig_75	22667	4	N	N	1	*	*,75,*
contig_1097	22653	4	N	N	1	*	*,1097,*
contig_147	22612	5	N	N	1	*	*,147,*
contig_129	22509	3	N	N	1	*	*,129,*
contig_1171	22405	4	N	N	1	*	*,1171,*
contig_1306	22390	5	N	N	1	*	*,-598,1306,*
contig_1138	22376	5	N	N	1	*	*,1138,*
contig_893	22374	6	N	N	1	*	*,893,*
contig_1133	22363	4	N	N	1	*	*,1133,*
contig_1296	22360	7	N	N	1	*	*,1296,*
contig_1168	22125	5	N	N	1	*	*,1168,*
contig_1074	22087	5	N	N	1	*	*,1074,*
contig_47	22065	8	N	N	2	*	47,*
contig_407	22045	4	N	N	1	*	*,407,*
contig_1316	22006	4	N	N	1	*	*,1316,*
contig_40	22001	10	N	N	2	*	40,-59
contig_202	21992	5	N	N	1	*	*,202,*
contig_68	21967	6	N	N	1	*	*,-67,68,*
contig_1291	21917	5	N	N	1	*	*,1291,*
contig_432	21830	5	N	N	1	*	*,432,*
contig_733	21731	4	N	N	1	*	*,733,*
contig_337	21653	6	N	N	1	*	*,337,*
contig_38	21364	7	N	N	1	*	38,-59
contig_1189	21310	5	N	N	1	*	*,1189,*
contig_951	21270	6	N	N	1	*	*,951,*
contig_152	21268	6	N	N	1	*	*,152,*
contig_1002	21113	7	N	N	2	*	*,1002,*
contig_1131	21082	6	N	N	1	*	*,1131,*
contig_3	21053	7	N	N	1	*	*,3,*
contig_155	20946	5	N	N	1	*	*,155,*
contig_1276	20876	4	N	N	1	*	*,1276,*
contig_888	20872	8	N	N	1	*	*,888,*
contig_13	20864	5	N	N	1	*	*,13,*
contig_1173	20808	4	N	N	1	*	*,1173,*
contig_136	20691	4	N	N	1	*	*,136,*
contig_703	20680	3	N	N	1	*	*,703,*
contig_303	20566	5	N	N	1	*	*,303,*
contig_125	20502	4	N	N	1	*	*,125,*
contig_902	20402	5	N	N	1	*	*,902,*
contig_1147	20298	8	N	N	2	*	*,1147,*
contig_774	20250	4	N	N	1	*	*,774,*
contig_603	20203	8	N	N	2	*	*,603,*
contig_227	20154	3	N	N	1	*	*,227,*
contig_433	20109	4	N	N	1	*	*,433,*
contig_982	19955	6	N	N	1	*	*,982,*
contig_1211	19927	6	N	N	1	*	*,1211,*
contig_1003	19859	9	N	N	2	*	*,1003,*
contig_37	19824	10	N	N	2	*	37,33,34
contig_466	19706	4	N	N	1	*	*,466,*
contig_1287	19691	5	N	N	1	*	*,1287,*
contig_238	19584	4	N	N	1	*	*,238,*
contig_1295	19575	4	N	N	1	*	*,1295,*
contig_391	19566	8	N	N	1	*	*,391,*
contig_892	19493	5	N	N	1	*	*,892,*
contig_1054	19461	4	N	N	1	*	*,1054,*
contig_846	19390	4	N	N	1	*	*,846,*
contig_704	19321	4	N	N	1	*	*,704,*
contig_481	19264	4	N	N	1	*	*,481,*
contig_352	19194	4	N	N	1	*	*,352,*
contig_1304	19098	4	N	N	1	*	*,1304,*
contig_820	19068	4	N	N	1	*	*,820,*
contig_235	19027	5	N	N	1	*	*,235,*
contig_927	18995	9	N	N	1	*	*,927,*
contig_1222	18946	3	N	N	1	*	*,1222,*
contig_963	18938	7	N	N	1	*	*,963,*
contig_159	18924	5	N	N	1	*	*,159,*
contig_607	18772	3	N	N	1	*	*,607,*
contig_1010	18756	4	N	N	1	*	*,1010,*
contig_1012	18731	4	N	N	1	*	*,1012,*
contig_91	18662	6	N	N	1	*	*,91,*
contig_275	18624	5	N	N	1	*	*,275,*
contig_800	18577	4	N	N	1	*	*,800,*
contig_216	18542	5	N	N	1	*	*,216,*
contig_72	18391	3	N	N	1	*	*,72,*
contig_299	18381	9	N	N	2	*	*,299,*
contig_1135	18265	3	N	N	1	*	*,1135,*
contig_624	18262	6	N	N	1	*	*,624,*
contig_949	18248	3	N	N	1	*	*,949,*
contig_630	17991	4	N	N	1	*	*,630,*
contig_243	17982	3	N	N	1	*	*,243,*
contig_1253	17972	4	N	N	1	*	*,1253,*
contig_270	17910	4	N	N	1	*	*,270,*
contig_70	17838	5	N	N	1	*	*,70,*
contig_413	17833	4	N	N	1	*	*,413,*
contig_1019	17800	4	N	N	1	*	*,1019,*
contig_870	17799	3	N	N	1	*	*,870,*
contig_356	17793	5	N	N	1	*	*,356,*
contig_522	17748	6	N	N	1	*	*,522,*
contig_718	17726	4	N	N	1	*	*,718,*
contig_639	17680	4	N	N	1	*	*,639,*
contig_768	17659	3	N	N	1	*	*,768,*
contig_653	17656	3	N	N	1	*	*,653,*
contig_805	17603	6	N	N	1	*	*,805,*
contig_140	17544	3	N	N	1	*	*,140,*
contig_1208	17537	3	N	N	1	*	*,1208,*
contig_1216	17527	3	N	N	1	*	*,1216,*
contig_1312	17527	6	N	N	1	*	*,1312,*
contig_342	17519	4	N	N	1	*	*,342,*
contig_487	17493	4	N	N	1	*	*,487,*
contig_617	17385	7	N	N	2	*	*,617,*
contig_325	17362	5	N	N	1	*	*,325,*
contig_1159	17360	5	N	N	1	*	*,1159,*
contig_1184	17324	6	N	N	1	*	*,1184,*
contig_649	17299	4	N	N	1	*	*,649,*
contig_153	17274	5	N	N	1	*	*,153,*
contig_439	17271	5	N	N	1	*	*,439,*
contig_307	17236	5	N	N	1	*	*,307,*
contig_876	17165	4	N	N	1	*	*,876,*
contig_965	17142	5	N	N	1	*	*,965,*
contig_1156	17071	3	N	N	1	*	*,1156,*
contig_1314	17049	6	N	N	1	*	*,1314,*
contig_198	17021	3	N	N	1	*	*,198,*
contig_180	17007	4	N	N	1	*	*,180,*
contig_528	16983	4	N	N	1	*	*,528,*
contig_616	16952	5	N	N	1	*	*,616,*
contig_633	16946	3	N	N	1	*	*,633,*
contig_1174	16851	5	N	N	1	*	*,1174,*
contig_265	16848	4	N	N	1	*	*,265,*
contig_1172	16794	4	N	N	1	*	*,1172,*
contig_120	16764	7	N	N	2	*	*,120,*
contig_93	16761	5	N	N	1	*	*,93,*
contig_1243	16671	7	N	N	1	*	*,1243,*
contig_791	16592	4	N	N	1	*	*,791,*
contig_920	16534	4	N	N	1	*	*,920,*
contig_1199	16503	5	N	N	1	*	*,1199,*
contig_1286	16328	5	N	N	1	*	*,1286,*
contig_557	16323	3	N	N	1	*	*,557,*
contig_1305	16319	4	N	N	1	*	*,1305,*
contig_599	16285	4	N	N	1	*	*,599,*
contig_900	16140	3	N	N	1	*	*,900,*
contig_678	16134	8	N	N	1	*	*,678,*
contig_261	16081	6	N	N	1	*	*,261,*
contig_1148	16069	5	N	N	1	*	*,1148,*
contig_193	16036	4	N	N	1	*	*,193,*
contig_1096	16011	6	N	N	1	*	*,1096,*
contig_90	15980	9	N	Y	2	*	90
contig_317	15939	3	N	N	1	*	*,317,*
contig_943	15930	7	N	N	1	*	*,943,*
contig_1086	15923	4	N	N	1	*	*,1086,*
contig_530	15881	3	N	N	1	*	*,530,*
contig_766	15851	7	N	N	1	*	*,766,*
contig_1267	15849	8	N	N	2	*	*,1267,*
contig_212	15827	3	N	N	1	*	*,212,*
contig_254	15825	4	N	N	1	*	*,254,*
contig_324	15777	6	N	N	1	*	*,324,*
contig_128	15759	4	N	N	1	*	*,128,*
contig_239	15739	4	N	N	1	*	*,239,*
contig_166	15668	5	N	N	1	*	*,166,*
contig_573	15651	3	N	N	1	*	*,573,*
contig_425	15613	6	N	N	1	*	*,425,*
contig_429	15612	4	N	N	1	*	*,429,*
contig_938	15593	3	N	N	1	*	*,938,*
contig_1092	15581	4	N	N	1	*	*,1092,*
contig_549	15576	4	N	N	1	*	*,549,*
contig_246	15491	6	N	N	1	*	*,246,*
contig_1270	15445	8	N	N	2	*	1270,-59
contig_1103	15418	3	N	N	1	*	*,1103,*
contig_479	15297	4	N	N	1	*	*,479,*
contig_476	15220	7	N	N	1	*	*,476,*
contig_64	15117	8	N	N	2	*	*,64,*
contig_883	15115	3	N	N	1	*	*,883,*
contig_1185	15087	4	N	N	1	*	*,1185,*
contig_383	15070	4	N	N	1	*	*,383,*
contig_343	15026	4	N	N	1	*	*,343,*
contig_25	15002	3	N	N	1	*	*,25,*
contig_1	14999	6	N	N	1	*	*,1,*
contig_917	14939	3	N	N	1	*	*,917,*
contig_901	14926	4	N	N	1	*	*,901,*
contig_305	14907	4	N	N	1	*	*,305,*
contig_1246	14881	5	N	N	1	*	*,1246,*
contig_373	14788	7	N	N	1	*	*,373,*
contig_1256	14779	9	N	N	1	*	*,1256,*
contig_1102	14777	4	N	N	1	*	*,1102,*
contig_377	14719	4	N	N	1	*	*,377,*
contig_760	14693	5	N	N	1	*	*,760,*
contig_1269	14631	7	N	N	2	*	*,1269,*
contig_780	14613	3	N	N	1	*	*,780,*
contig_512	14588	4	N	N	1	*	*,512,*
contig_259	14524	6	N	N	1	*	*,259,*
contig_245	14494	8	N	N	1	*	*,245,*
contig_399	14473	3	N	N	1	*	*,399,*
contig_503	14450	3	N	N	1	*	*,503,*
contig_474	14444	3	N	N	1	*	*,474,*
contig_707	14424	4	N	N	1	*	*,707,*
contig_1265	14412	7	N	N	2	*	*,1265,*
contig_1154	14406	4	N	N	1	*	*,1154,*
contig_947	14406	3	N	N	1	*	*,947,*
contig_251	14401	4	N	N	1	*	*,251,*
contig_1120	14391	4	N	N	1	*	*,1120,*
contig_252	14381	5	N	N	1	*	*,252,*
contig_1278	14284	9	N	N	2	*	*,1278,*
contig_403	14249	4	N	N	1	*	*,403,*
contig_22	14229	3	N	N	1	*	*,22,*
contig_1144	14222	4	N	N	1	*	*,1144,*
contig_979	14199	4	N	N	1	*	*,979,*
contig_65	14085	8	N	N	1	*	*,65,*
contig_260	14015	4	N	N	1	*	*,260,*
contig_550	13992	4	N	N	1	*	*,550,*
contig_825	13970	3	N	N	1	*	*,825,*
contig_987	13938	4	N	N	1	*	*,987,*
contig_108	13922	4	N	N	1	*	*,108,*
contig_1169	13893	3	N	N	1	*	*,1169,*
contig_230	13776	3	N	N	1	*	*,230,*
contig_100	13761	6	N	N	1	*	*,100,*
contig_491	13753	3	N	N	1	*	*,491,*
contig_1177	13739	4	N	N	1	*	*,1177,*
contig_188	13670	7	N	N	1	*	*,188,*
contig_401	13646	7	N	N	1	*	*,401,*
contig_1063	13533	4	N	N	1	*	*,1063,*
contig_1255	13522	4	N	N	1	*	*,1255,*
contig_146	13500	4	N	N	1	*	*,146,*
contig_1162	13449	5	N	N	1	*	*,1162,*
contig_1235	13446	4	N	N	1	*	*,1235,*
contig_753	13344	3	N	N	1	*	*,753,*
contig_946	13323	3	N	N	1	*	*,946,*
contig_1112	13314	4	N	N	1	*	*,1112,*
contig_1067	13271	3	N	N	1	*	*,1067,*
contig_1252	13260	3	N	N	1	*	*,1252,*
contig_533	13255	3	N	N	1	*	*,533,*
contig_661	13235	5	N	N	1	*	*,661,*
contig_1207	13214	4	N	N	1	*	*,1207,*
contig_634	13210	3	N	N	1	*	*,634,*
contig_1090	13169	5	N	N	1	*	*,1090,*
contig_689	13118	4	N	N	1	*	*,689,*
contig_1091	12999	4	N	N	1	*	*,1091,*
contig_187	12982	4	N	N	1	*	*,187,*
contig_939	12961	3	N	N	1	*	*,939,*
contig_520	12959	4	N	N	1	*	*,520,*
contig_171	12951	7	N	N	1	*	*,171,*
contig_981	12883	6	N	N	1	*	*,981,*
contig_191	12850	4	N	N	1	*	*,191,*
contig_10	12849	4	N	N	1	*	*,10,*
contig_5	12849	3	N	N	1	*	*,5,*
contig_555	12848	4	N	N	1	*	*,555,*
contig_14	12821	8	N	N	1	*	*,14,*
contig_384	12792	7	N	N	1	*	*,384,*
contig_277	12779	4	N	N	1	*	*,277,*
contig_866	12698	3	N	N	1	*	*,866,*
contig_1132	12683	4	N	N	1	*	*,1132,*
contig_1231	12670	3	N	N	1	*	*,1231,*
contig_953	12667	8	N	N	1	*	*,953,*
contig_1083	12653	4	N	N	1	*	*,1083,*
contig_896	12643	3	N	N	1	*	*,896,*
contig_797	12618	3	N	N	1	*	*,797,*
contig_295	12609	3	N	N	1	*	*,295,*
contig_1075	12530	5	N	N	1	*	*,1075,*
contig_486	12492	3	N	N	1	*	*,486,*
contig_806	12490	4	N	N	1	*	*,806,*
contig_374	12488	3	N	N	1	*	*,374,*
contig_469	12475	4	N	N	1	*	*,469,*
contig_390	12470	5	N	N	1	*	*,390,*
contig_1152	12439	4	N	N	1	*	*,1152,*
contig_732	12439	3	N	N	1	*	*,732,*
contig_176	12422	3	N	N	1	*	*,176,*
contig_451	12376	4	N	N	1	*	*,451,*
contig_1283	12351	4	N	N	1	*	*,1283,*
contig_279	12326	3	N	N	1	*	*,279,*
contig_755	12236	3	N	N	1	*	*,755,*
contig_7	12228	4	N	N	1	*	*,7,*
contig_435	12207	4	N	N	1	*	*,435,*
contig_759	12192	8	N	N	2	*	*,759,*
contig_364	12174	5	N	N	1	*	359,364,677,*
contig_115	12153	4	N	N	1	*	*,115,*
contig_338	12149	4	N	N	1	*	*,338,*
contig_542	12101	3	N	N	1	*	*,542,*
contig_1226	12091	3	N	N	1	*	*,1226,*
contig_483	12075	4	N	N	1	*	*,483,*
contig_561	12071	4	N	N	1	*	*,561,*
contig_388	12068	3	N	N	1	*	*,388,*
contig_370	12042	3	N	N	1	*	*,370,*
contig_207	11983	5	N	N	1	*	*,207,*
contig_1201	11819	3	N	N	1	*	*,1201,*
contig_349	11727	5	N	N	1	*	*,349,*
contig_19	11717	4	N	N	1	*	*,19,*
contig_300	11686	9	N	N	2	*	*,300,*
contig_729	11645	4	N	N	1	*	*,729,*
contig_669	11636	4	N	N	1	*	*,669,*
contig_1113	11628	3	N	N	1	*	*,1113,*
contig_585	11625	4	N	N	1	*	*,585,*
contig_1124	11596	4	N	N	1	*	*,1124,*
contig_445	11573	4	N	N	1	*	*,445,*
contig_566	11491	11	N	N	2	*	*,566,*
contig_359	11483	7	N	Y	1	*	359
contig_287	11480	4	N	N	1	*	*,287,*
contig_134	11478	4	N	N	1	*	*,134,*
contig_637	11466	4	N	N	1	*	*,637,*
contig_71	11460	4	N	N	1	*	*,71,*
contig_612	11413	3	N	N	1	*	*,612,*
contig_385	11390	4	N	N	1	*	*,385,*
contig_583	11390	4	N	N	1	*	*,583,*
contig_293	11350	7	N	N	2	*	*,293,*
contig_1109	11343	4	N	N	1	*	*,1109,*
contig_1249	11341	8	N	N	2	*	*,1249,*
contig_83	11340	6	N	N	1	*	*,83,*
contig_983	11325	3	N	N	1	*	*,983,*
contig_993	11322	4	N	N	1	*	*,993,*
contig_354	11287	6	N	N	1	*	*,354,*
contig_966	11272	4	N	N	1	*	*,966,*
contig_1194	11267	3	N	N	1	*	*,1194,*
contig_1178	11260	4	N	N	1	*	*,1178,*
contig_682	11234	5	N	N	1	*	*,682,*
contig_221	11187	4	N	N	1	*	*,221,*
contig_172	11159	4	N	N	1	*	*,172,*
contig_368	11152	3	N	N	1	*	*,368,*
contig_1193	11146	4	N	N	1	*	*,1193,*
contig_1274	11144	4	N	N	1	*	*,1274,*
contig_168	11107	3	N	N	1	*	*,168,*
contig_525	11107	8	N	N	2	*	*,525,*
contig_1069	11105	5	N	N	1	*	*,1069,*
contig_737	11103	6	N	N	1	*	*,737,*
contig_426	11082	5	N	N	1	*	*,426,*
contig_765	11074	4	N	N	1	*	*,765,*
contig_795	11055	5	N	N	1	*	*,795,*
contig_1262	11038	6	N	N	1	*	*,1262,*
contig_794	11034	3	N	N	1	*	*,794,*
contig_1114	11007	5	N	N	1	*	*,1114,*
contig_224	11007	3	N	N	1	*	*,224,*
contig_551	10978	5	N	N	1	*	*,551,*
contig_642	10966	5	N	N	1	*	*,642,*
contig_635	10946	6	N	N	1	*	*,635,*
contig_11	10934	4	N	N	1	*	*,11,*
contig_843	10928	4	N	N	1	*	*,843,*
contig_1225	10863	3	N	N	1	*	*,1225,*
contig_626	10790	4	N	N	1	*	*,626,*
contig_144	10785	3	N	N	1	*	*,144,*
contig_24	10785	6	N	N	1	*	*,24,*
contig_333	10752	5	N	N	1	*	*,333,*
contig_444	10742	4	N	N	1	*	*,444,*
contig_490	10729	5	N	N	1	*	*,490,*
contig_282	10706	3	N	N	1	*	*,282,*
contig_741	10693	3	N	N	1	*	*,741,*
contig_174	10688	6	N	N	1	*	*,174,*
contig_398	10656	3	N	N	1	*	*,398,*
contig_935	10599	4	N	N	1	*	*,935,*
contig_510	10598	4	N	N	1	*	*,510,*
contig_415	10591	3	N	N	1	*	*,415,*
contig_863	10588	5	N	N	1	*	*,863,*
contig_815	10574	4	N	N	1	*	*,815,*
contig_720	10566	4	N	N	1	*	*,720,*
contig_968	10561	4	N	N	1	*	*,968,*
contig_237	10555	3	N	N	1	*	*,237,*
contig_280	10535	4	N	N	1	*	*,280,*
contig_1115	10521	6	N	N	1	*	*,1115,*
contig_121	10521	6	N	N	1	*	*,121,*
contig_855	10514	4	N	N	1	*	*,855,*
contig_164	10496	5	N	N	1	*	*,164,*
contig_347	10481	4	N	N	1	*	*,347,*
contig_910	10478	4	N	N	1	*	*,910,*
contig_489	10468	3	N	N	1	*	*,489,*
contig_258	10464	3	N	N	1	*	*,258,*
contig_1111	10459	7	N	N	1	*	*,1111,*
